Test_Case,Producer_Rate,Environment,Message_Size,Percentile,Latency
TC01,100,STANDARD,100,89.75184128458629,3.875
TC01,100,STANDARD,100,89.83146440183133,3.881
TC01,100,STANDARD,100,89.87791122022428,3.885
TC01,100,STANDARD,100,89.94426381792847,3.889
TC01,100,STANDARD,100,90.01393404551789,3.893
TC01,100,STANDARD,100,90.0836042731073,3.897
TC01,100,STANDARD,100,90.12673346161502,3.901
TC01,100,STANDARD,100,90.20303894897485,3.906
TC01,100,STANDARD,100,90.26939154667905,3.909
TC01,100,STANDARD,100,90.31252073518678,3.913
TC01,100,STANDARD,100,90.38219096277619,3.917
TC01,100,STANDARD,100,90.43859067082477,3.921
TC01,100,STANDARD,100,90.52484904784022,3.926
TC01,100,STANDARD,100,90.56797823634795,3.928
TC01,100,STANDARD,100,90.63764846393737,3.932
TC01,100,STANDARD,100,90.70731869152678,3.935
TC01,100,STANDARD,100,90.77367128923098,3.939
TC01,100,STANDARD,100,90.82343573750913,3.942
TC01,100,STANDARD,100,90.87651781567249,3.945
TC01,100,STANDARD,100,90.93955278349148,3.949
TC01,100,STANDARD,100,91.02581116050693,3.954
TC01,100,STANDARD,100,91.06562271912945,3.958
TC01,100,STANDARD,100,91.12534005706324,3.961
TC01,100,STANDARD,100,91.19832791453786,3.967
TC01,100,STANDARD,100,91.25804525247163,3.972
TC01,100,STANDARD,100,91.3144449605202,3.977
TC01,100,STANDARD,100,91.3774799283392,3.98
TC01,100,STANDARD,100,91.4438325260434,3.984
TC01,100,STANDARD,100,91.50023223409197,3.987
TC01,100,STANDARD,100,91.56326720191096,3.993
TC01,100,STANDARD,100,91.63957268927078,3.997
TC01,100,STANDARD,100,91.69265476743415,4.002
TC01,100,STANDARD,100,91.76564262490876,4.008
TC01,100,STANDARD,100,91.83199522261296,4.013
TC01,100,STANDARD,100,91.89834782031717,4.016
TC01,100,STANDARD,100,91.93815937893969,4.019
TC01,100,STANDARD,100,92.0078296065291,4.023
TC01,100,STANDARD,100,92.0741822042333,4.027
TC01,100,STANDARD,100,92.14385243182271,4.03
TC01,100,STANDARD,100,92.19693450998606,4.034
TC01,100,STANDARD,100,92.26328710769026,4.04
TC01,100,STANDARD,100,92.31636918585363,4.043
TC01,100,STANDARD,100,92.39267467321346,4.048
TC01,100,STANDARD,100,92.4424391214916,4.052
TC01,100,STANDARD,100,92.50879171919581,4.056
TC01,100,STANDARD,100,92.57182668701479,4.06
TC01,100,STANDARD,100,92.63154402494858,4.066
TC01,100,STANDARD,100,92.7045318824232,4.073
TC01,100,STANDARD,100,92.75761396058655,4.077
TC01,100,STANDARD,100,92.82396655829076,4.083
TC01,100,STANDARD,100,92.87704863645412,4.086
TC01,100,STANDARD,100,92.95667175369915,4.091
TC01,100,STANDARD,100,93.00643620197731,4.095
TC01,100,STANDARD,100,93.0727887996815,4.1
TC01,100,STANDARD,100,93.1325061376153,4.103
TC01,100,STANDARD,100,93.18890584566385,4.107
TC01,100,STANDARD,100,93.25194081348285,4.112
TC01,100,STANDARD,100,93.31497578130184,4.117
TC01,100,STANDARD,100,93.37801074912083,4.121
TC01,100,STANDARD,100,93.44104571693981,4.126
TC01,100,STANDARD,100,93.5007630548736,4.13
TC01,100,STANDARD,100,93.57043328246301,4.135
TC01,100,STANDARD,100,93.62683299051157,4.139
TC01,100,STANDARD,100,93.70645610775662,4.145
TC01,100,STANDARD,100,93.75953818591998,4.15
TC01,100,STANDARD,100,93.78607922500166,4.152
TC01,100,STANDARD,100,93.81262026408334,4.155
TC01,100,STANDARD,100,93.85906708247627,4.158
TC01,100,STANDARD,100,93.87565523190233,4.159
TC01,100,STANDARD,100,93.90883153075443,4.162
TC01,100,STANDARD,100,93.93869019972132,4.166
TC01,100,STANDARD,100,93.98181938822906,4.169
TC01,100,STANDARD,100,94.00172516754031,4.171
TC01,100,STANDARD,100,94.03821909627761,4.174
TC01,100,STANDARD,100,94.06807776524451,4.177
TC01,100,STANDARD,100,94.0979364342114,4.18
TC01,100,STANDARD,100,94.12779510317829,4.185
TC01,100,STANDARD,100,94.16097140203038,4.19
TC01,100,STANDARD,100,94.1941477008825,4.195
TC01,100,STANDARD,100,94.23395925950501,4.197
TC01,100,STANDARD,100,94.25054740893106,4.199
TC01,100,STANDARD,100,94.28372370778315,4.201
TC01,100,STANDARD,100,94.31358237675005,4.204
TC01,100,STANDARD,100,94.34675867560215,4.209
TC01,100,STANDARD,100,94.37993497445424,4.212
TC01,100,STANDARD,100,94.42306416296198,4.216
TC01,100,STANDARD,100,94.44296994227324,4.218
TC01,100,STANDARD,100,94.46951098135492,4.22
TC01,100,STANDARD,100,94.50268728020701,4.223
TC01,100,STANDARD,100,94.53254594917391,4.226
TC01,100,STANDARD,100,94.565722248026,4.229
TC01,100,STANDARD,100,94.5955809169929,4.233
TC01,100,STANDARD,100,94.63207484573022,4.237
TC01,100,STANDARD,100,94.6586158848119,4.241
TC01,100,STANDARD,100,94.69179218366399,4.243
TC01,100,STANDARD,100,94.7282861124013,4.246
TC01,100,STANDARD,100,94.7614624112534,4.25
TC01,100,STANDARD,100,94.79132108022029,4.253
TC01,100,STANDARD,100,94.81454448941676,4.257
TC01,100,STANDARD,100,94.84772078826886,4.26
TC01,100,STANDARD,100,94.88421471700617,4.263
TC01,100,STANDARD,100,94.91739101585827,4.266
TC01,100,STANDARD,100,94.94393205493995,4.27
